week_start,weekly_arrivals,scenario,seed,stage
2026-03-09,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-03-16,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-03-23,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-03-30,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-04-13,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-04-20,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-04-27,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-05-04,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-05-11,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-05-18,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-05-25,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-06-01,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-06-08,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-06-15,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-06-22,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-06-29,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-07-06,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-07-13,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-07-20,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-07-27,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-08-03,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-08-10,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-08-17,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-08-24,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-08-31,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-09-07,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-09-14,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-09-21,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-09-28,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-10-05,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-10-12,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-10-19,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-10-26,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-11-02,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-11-09,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-11-16,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-11-23,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-11-30,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-12-07,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-12-14,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-12-21,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-12-28,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-02-02,1,ALL_PROSTAD,19,biopsy_to_pathrep
2026-02-09,2,ALL_PROSTAD,19,biopsy_to_pathrep
2026-02-16,4,ALL_PROSTAD,19,biopsy_to_pathrep
2026-02-23,1,ALL_PROSTAD,19,biopsy_to_pathrep
2026-03-02,1,ALL_PROSTAD,19,biopsy_to_pathrep
2026-03-09,4,ALL_PROSTAD,19,biopsy_to_pathrep
2026-03-16,1,ALL_PROSTAD,19,biopsy_to_pathrep
2026-03-23,4,ALL_PROSTAD,19,biopsy_to_pathrep
2026-03-30,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-04-06,4,ALL_PROSTAD,19,biopsy_to_pathrep
2026-04-13,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-05-04,2,ALL_PROSTAD,19,biopsy_to_pathrep
2026-05-11,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-05-18,4,ALL_PROSTAD,19,biopsy_to_pathrep
2026-05-25,2,ALL_PROSTAD,19,biopsy_to_pathrep
2026-06-08,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-06-15,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-06-22,1,ALL_PROSTAD,19,biopsy_to_pathrep
2026-06-29,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-07-06,2,ALL_PROSTAD,19,biopsy_to_pathrep
2026-07-13,3,ALL_PROSTAD,19,biopsy_to_pathrep
2026-07-20,2,ALL_PROSTAD,19,biopsy_to_pathrep
2026-08-03,1,ALL_PROSTAD,19,biopsy_to_pathrep
